#Region	Chromosome	Start_position	End_position	Pass_or_flag	Read count	Median coverage	Minimum coverage	Median quality coverage	Minimum quality coverage	Maximum fraction of low mapping quality	Maximum fraction of low base quality
CSF3RExon17_0001	chr1	36931940	36932051	PASS	627	626	625	621	602	0	0.037
CSF3RExon17_0003	chr1	36932132	36932248	PASS	426	166	166	165	156	0	0.595
CSF3RExon17_0004	chr1	36932244	36932365	FLAG	582	413	260	408	19	0	0.93
CSF3RExon17_0005	chr1	36932337	36932448	PASS	660	393	152	389	151	0	0.57
CSF3RExon17_0006	chr1	36932426	36932537	PASS	393	245	245	245	238	0	0.151
CSF3RExon16_0007	chr1	36932818	36932929	FLAG	223	223	219	220	12	0	0.946
CSF3RExon15_0008	chr1	36933125	36933236	PASS	518	518	340	511	329	0	0.302
CSF3RExon15_0009	chr1	36933176	36933287	PASS	518	518	173	510	165	0	0.388
CSF3RExon14_0010	chr1	36933406	36933522	FLAG	445	444	436	438	43	0	0.903
MPLExon4_0012	chr1	43804934	43805055	PASS	377	311	308	310	285	0	0.081
MPLExon4_0013	chr1	43805026	43805142	FLAG	529	219	66	214.5	63	0	0.562
MPLExon4_0014	chr1	43805139	43805260	FLAG	224	140	137	138	13	0	0.905
MPLExon5_0016	chr1	43805707	43805818	PASS	286	280	279	277	269	0	0.043
MPLExon6_0017	chr1	43806025	43806136	FLAG	927	45	45	45	4	0	0.911
MPLExon6_0018	chr1	43806129	43806240	PASS	928	875	875	868	825	0	0.057
MPLExon7_0019	chr1	43812110	43812226	PASS	229	163	163	163	154	0	0.272
MPLExon7_0020	chr1	43812204	43812325	FLAG	229	66	66	66	61	0	0.396
MPLExon8_0021	chr1	43812448	43812569	FLAG	158	158	89	154	8	0	0.912
MPLExon8_0022	chr1	43812515	43812626	FLAG	158	158	67	153	63	0	0.486
MPLExon10_0026	chr1	43815004	43815115	FLAG	138	138	137	134	92	0	0.333
MPLExon11_0027	chr1	43817879	43817990	FLAG	455	455	454	451	13	0	0.971
MPLExon12_0028	chr1	43818156	43818267	FLAG	227	50	50	50	47	0	0.582
MPLExon12_0029	chr1	43818265	43818386	FLAG	482	177	177	176	7	0	0.96
MPLExon12_0030	chr1	43818383	43818504	PASS	432	255	255	254	246	0	0.373
NRASExon5_0031	chr1	115251149	115251260	PASS	1307	1306	948	1293	357	0	0.726
NRASExon5_0032	chr1	115251197	115251313	PASS	1306	1305	357	1290.5	343	0	0.651
NRASExon4_0033	chr1	115252179	115252295	PASS	578	181	179	179	167	0	0.656
NRASExon4_0034	chr1	115252260	115252381	PASS	578	399	399	399	385	0	0.184
NRASExon3_0035	chr1	115256392	115256503	PASS	1568	750	750	748	726	0	0.364
NRASExon3_0036	chr1	115256480	115256591	PASS	1568	814	814	813	792	0	0.185
NRASExon3_0037	chr1	115256502	115256623	FLAG	1568	814	6	809	6	0	0.944
